"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.66730766083594,0.904,0.052,0,"1","LGALS2"
0,4.12445759723503,0.957,0.136,0,"1","FCN1"
0,6.16020899044912,0.992,0.204,0,"1","S100A9"
1.0581379795654e-293,5.8427727792102,0.656,0.024,1.32468293661793e-289,"1","CD14"
1.65010854448996e-288,3.25718309870141,0.996,0.261,2.06577088684698e-284,"1","TYROBP"
1.07019095900537e-280,5.18503928263473,0.676,0.036,1.33977206157882e-276,"1","MS4A6A"
3.43565983236315e-277,3.1424005666275,0.996,0.257,4.30110254413543e-273,"1","CST3"
7.61919835031762e-274,4.6834091205933,1,0.529,9.53847441476263e-270,"1","LYZ"
2.0886340636006e-247,3.13745536061406,0.919,0.211,2.61476098422159e-243,"1","TYMP"
1.27745537542862e-240,3.102029459367,0.784,0.096,1.59924638449909e-236,"1","CFD"
7.48787043538229e-236,2.48883677161499,0.959,0.234,9.37406499805509e-232,"1","AIF1"
6.88609077566816e-235,2.14030442932043,0.959,0.213,8.62069704205897e-231,"1","LST1"
7.47106489395959e-232,2.72204542879779,0.984,0.36,9.35302614074801e-228,"1","LGALS1"
5.07859879025429e-224,2.93881300236664,0.943,0.333,6.35789782551934e-220,"1","GSTP1"
9.38672034781804e-221,3.55606554439204,0.756,0.117,1.17512352034334e-216,"1","GRN"
8.36467238077475e-219,2.61053262112119,1,0.99,1.04717333534919e-214,"1","FTL"
9.93678543850255e-218,2.69128812689074,0.916,0.296,1.24398616904613e-213,"1","GPX1"
1.86221530142421e-210,2.08242711759088,0.998,0.754,2.33130733585297e-206,"1","S100A6"
1.59401155642202e-206,2.22066066987113,1,0.994,1.99554306748472e-202,"1","FTH1"
1.56456985586751e-201,2.00247652057253,0.941,0.222,1.95868500256053e-197,"1","FCER1G"
1.25891522872127e-193,2.95344055498599,0.715,0.104,1.57603597483616e-189,"1","CD68"
4.73289934120543e-191,2.32227671378045,0.949,0.416,5.92511668525508e-187,"1","CTSS"
1.03453949015904e-184,3.27173959166129,0.682,0.11,1.29513998773011e-180,"1","CEBPD"
2.27814831607482e-182,3.13013651440574,0.717,0.133,2.85201387689407e-178,"1","LGALS3"
1.40016696321997e-178,1.63799477620193,1,0.808,1.75286902125508e-174,"1","S100A4"
8.97144502035964e-178,2.93666561834311,0.766,0.18,1.12313520209882e-173,"1","AP1S2"
8.53695590141966e-176,1.44801177347087,1,0.91,1.06874150929873e-171,"1","OAZ1"
3.31588194190522e-174,2.51782784519925,0.878,0.302,4.15115260307114e-170,"1","NPC2"
2.34983321054541e-172,2.1561541810064,0.925,0.403,2.9417561962818e-168,"1","PSAP"
3.2993130918702e-171,3.75352442406749,0.542,0.054,4.13041005971231e-167,"1","CDA"
6.1316069046502e-171,2.08126520460237,0.949,0.421,7.67615868393159e-167,"1","S100A11"
2.94612222682774e-170,2.93300886052307,0.652,0.102,3.68825041576565e-166,"1","CFP"
2.46383885024607e-169,2.04408017154144,0.971,0.501,3.08447985662305e-165,"1","SAT1"
7.523245410228e-166,2.41248750623242,0.719,0.132,9.41835092906443e-162,"1","SERPINA1"
4.23320026962509e-165,4.29845226298639,0.464,0.034,5.29954341754365e-161,"1","CSF3R"
1.10114662746525e-164,3.4382117606767,0.585,0.076,1.37852546292375e-160,"1","NCF2"
2.16826991571774e-163,1.80823025223565,0.984,0.548,2.71445710748704e-159,"1","COTL1"
1.88820117595443e-160,3.68736003044058,0.517,0.054,2.36383905217736e-156,"1","NUP214"
1.0931603716851e-158,3.5323200036553,0.548,0.069,1.36852746931258e-154,"1","BLVRB"
1.40987698512018e-154,5.4244601478985,0.369,0.013,1.76502499767196e-150,"1","ASGR1"
7.79690511121373e-153,2.75367885238094,0.558,0.07,9.76094550872847e-149,"1","IFI30"
6.09817342733174e-151,1.35232485981141,1,0.831,7.63430331367661e-147,"1","CYBA"
7.82968373764628e-151,2.99334879074039,0.654,0.13,9.80198107115938e-147,"1","FCGRT"
1.12911242153616e-147,2.10303319180187,0.872,0.39,1.41353584052112e-143,"1","GABARAP"
1.52637606248909e-147,3.70944292920253,0.436,0.035,1.91087019263009e-143,"1","ALDH2"
1.5002157261294e-144,3.87395443445848,0.428,0.034,1.87812006754139e-140,"1","FPR1"
2.6761009140725e-144,2.54436249102898,0.633,0.111,3.35021073432737e-140,"1","SPI1"
4.56052545533884e-141,2.05728813066419,0.804,0.259,5.70932181753869e-137,"1","PYCARD"
2.4626216569312e-136,6.79149227426651,0.293,0.004,3.08295605231216e-132,"1","FOLR3"
8.7618635547251e-135,2.22637458494222,0.768,0.241,1.09689769841604e-130,"1","TKT"
1.28271453802945e-134,3.73757538078955,0.415,0.035,1.60583033015907e-130,"1","IGSF6"
1.47535791967204e-133,2.04307048556374,0.847,0.333,1.84700057963743e-129,"1","RAC1"
7.29496466270381e-133,2.71499649351539,0.593,0.11,9.1325662612389e-129,"1","BRI3"
6.86838907704526e-131,4.70141692996466,0.316,0.011,8.59853628555296e-127,"1","RBP7"
2.19266656408804e-127,2.19229413562051,0.631,0.131,2.74499927158182e-123,"1","IFITM3"
3.16643803083102e-127,2.10363112965854,0.843,0.38,3.96406377079736e-123,"1","TSPO"
